date,wpm,keypresses,errors,bigram1,score1,bigram2,score2,bigram3,score3,bigram4,score4,bigram5,score5
2026-04-26,51.6,61,7,io,951.4,ut,693.6,lu,648.6, f,621.8,of,605.8
2026-04-26,9.2,20,15,uo,1714.9,qu,1240.0,ng,1214.5,nt,1046.7,t ,984.0
2026-04-26,54.4,124,7,ga,762.9,op,714.0, p,689.5, r,660.8,as,652.4
2026-04-26,69.6,631,5, q,828.0,ni,694.4, f,533.1,sp,509.9, d,509.4
2026-04-26,0.0,18,18,0;,680.6, (,666.8,t ,649.9,nt,647.5,in,646.2
2026-04-26,21.3,90,34,fo,1669.6,or,1564.1,0;,1082.8,] ,1031.5, =,978.9
2026-04-26,69.5,387,11, o,852.1,un,619.4,sy,593.1,it,588.4,ry,587.1
2026-04-26,38.7,39,0,[i,892.8,i],849.0,n;,731.9,i ,531.6, +,525.2
2026-04-26,0.0,0,0,,,,,,,,,,
